"Updated September 8, ,2010",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Muni Code,Municipality,County,Petition Date,Certification Date,Rehab Share Obligation,Rehab Adjust,Net Rehab,Rehab Complete,Rehab Proposed,Rehab addressed thru New Construction,Prior Round Obligation,Prior Round Adjustment,Net Prior Round Obligation,Unmet Need,Prior Round Complete**,Prior Round Proposed,Bonuses,Growth Share Obligation,Growth Share Adjustment,Net Growth Share Obligation,Growth Share Complete,Growth Share Proposed,Bonuses
,,,,,,,,,,,,,,,,,,,,,,,
0201,Allendale Borough,Bergen,12/31/08,10/14/09,4,0,4,0,4,0,137,0,137,0,71,35,34,54,-34,20,0,20,0
0208,Cresskill Borough,Bergen,12/30/08,09/08/10,26,0,26,0,26,0,70,0,70,0,52,0,18,50,0,50,19,21,10
0209,Demarest Borough,Bergen,12/30/08,03/10/10,4,0,4,1,3,0,66,-43,23,33,13,15,5,47,-27,20,0,15,5
0253,River Vale Township,Bergen,12/18/08,03/10/10,0,0,0,0,0,0,121,0,121,0,48,43,30,53,-25,28,0,32,7
0255,Rockleigh Borough,Bergen,12/31/08,11/12/09,1,0,1,0,1,0,84,-72,12,0,9,0,3,31,-16,15,12,10,0
0259,South Hackensack Township,Bergen,12/31/08,08/12/09,10,0,10,1,9,0,50,-49,1,49,0,1,0,40,-30,10,0,10,0
0302,Beverly City,Burlington,12/30/08,06/10/09,16,0,16,12,0,4,18,-18,0*,18,16,0,0,16,63,79,24,64,0
0311,Eastampton Township,Burlington,12/22/08,05/14/09,17,0,17,0,13,4,49,0,49,0,37,0,12,73,0,73,59,0,18
0315,Florence Township,Burlington,12/31/08,07/08/09,36,0,36,5,31,0,114,0,114,0,88,0,28,158,0,158,62,86,17.75
0326,North Hanover Township,Burlington,12/30/08,05/14/09,16,0,16,2,0,14,1,0,1,0,1,0,0,21,0,21,113,0,0
0327,Palmyra Borough,Burlington,12/30/08,09/09/09,20,0,20,7,13,0,39,0,39,0,19,15,5,180,0,180,0,136,44
0334,Springfield Township,Burlington,12/30/08,06/10/09,3,0,3,5,0,0,54,0,54,0,42,3,9,46,-1,45,6,29,11
0412,Collingswood Borough,Camden,12/30/08,09/09/09,105,0,105,39,66,0,0,0,0,0,0,0,0,45,0,45,2,33,10
0417,Haddonfield Borough,Camden,12/31/08,03/10/10,29,0,29,0,29,0,192,-155,37,66,24,93,9,15,-15,0,5,18,0
0427,Pennsauken Township,Camden,12/22/08,06/10/09,203,0,203,80,123,0,0,0,0,0,0,0,0,359,0,359,359,0,0
0428,Pine Hill Borough,Camden,12/30/08,04/08/09,38,0,38,18,0,20,22,0,22,0,16,0,6,135,0,135,324,0,0
0431,Somerdale Borough,Camden,12/29/08,11/12/09,16,0,16,10,6,0,95,-91,4,91,3,0,1,48,0,48,0,36,12
0502,Cape May City,Cape May,12/29/08,10/14/09,8,0,8,0,8,0,58,-58,0*,58,0,38,0,6,0,6,0,27,0
0503,Cape May Point Borough,Cape May,12/31/08,07/08/09,0,0,0,0,0,0,0,-34,0,0,0,0,0,1,0,1,0,6,0
0510,Stone Harbor Borough,Cape May,12/31/08,10/14/09,0,0,0,0,0,0,141,-141,0,141,0,70,0,0,0,0,0,10,
0610,Millville City,Cumberland,12/23/08,05/14/09,129,0,129,40,89,0,0,0,0,0,0,0,0,225,436,661,545,68,165
0711,Maplewood Township,Essex,12/23/08,06/10/09,125,0,125,44,81,0,51,0,51,0,51,0,0,69,45,114,61,50,15.25
0713,Montclair Township,Essex,12/19/00,08/12/09,369,-242,127,56,71,0,0,0,0,0,0,0,0,162,0,162,146,4,40
0717,Orange City,Essex,12/31/08,08/12/09,469,0,469,78,0,391,0,0,0,0,0,0,0,100,0,100,0,104,0
0719,South Orange Village Township,Essex,12/31/08,01/13/10,54,0,54,42,12,0,63,0,63,0,49,0,14,65,0,65,16,68,1
0722,West Orange Township,Essex,12/30/08,12/09/09,324,0,324,188,136,0,226,0,226,0,215,0,11,341,0,0,37,243,85
0801,Clayton Borough,Gloucester,12/31/08,10/14/09,51,0,51,22,29,0,94,0,94,0,24,46,24,89,0,89,10,82,0
1007,Delaware Township,Hunterdon,12/30/08,08/12/09,8,0,8,8,0,0,23,0,23,0,18,1,4,54,-2,52,3,36,13
1008,East Amwell Township,Hunterdon,12/31/08,12/09/09,9,0,9,0,9,0,40,0,40,0,30,0,10,55,0,55,12,43,0
1009,Flemington Borough,Hunterdon,12/30/08,07/08/09,17,0,17,0,17,0,38,-34,4,34,38,0,0,39,-18,21,11,7,5
1011,Frenchtown Borough,Hunterdon,12/30/08,05/14/09,7,0,7,5,2,0,2,0,2,0,2,0,0,8,0,8,5,2,2
1020,Milford Borough ^,Hunterdon,12/31/08,07/08/09,6,0,6,0,6,0,5,0,5,0,6,0,0,6,0,6,0,6,0
1021,Raritan Township,Hunterdon,12/31/08,07/15/10,16,0,16,0,16,0,360,0,360,0,320,0,40,515,0,515,46,342,128
1022,Readington Township,Hunterdon,12/30/08,10/14/09,0,0,0,0,0,0,394,0,394,0,356,0,38,192,0,192,28,130,37
1023,Stockton Borough,Hunterdon,12/30/08,09/09/09,4,0,4,0,4,0,6,0,6,0,0,6,0,6,0,6,0,8,0
1026,West Amwell Township,Hunterdon,12/30/08,05/14/09,4,0,4,0,4,0,16,0,16,0,13,0,3,52,0,52,16,29,8
1107,Lawrence Township,Mercer,12/30/08,04/08/09,47,0,47,39,8,0,891,0,891,0,755,0,148,524,0,524,359,132,48
1112,Robbinsville Township,Mercer,12/31/08,10/26/09,17,0,17,0,17,0,293,-7,286,0,251,0,35,317,0,317,133,147,37
1202,Cranbury Township,Middlesex,12/31/08,04/21/10,6,0,6,0,6,0,217,0,217,0,165,0,52,269,0,269,52,150,67
1204,East Brunswick Township,Middlesex,12/16/08,08/12/09,46,0,46,46,0,0,648,0,648,0,618,0,30,497,0,497,144,249,124
1215,Old Bridge Township,Middlesex,12/31/08,07/08/09,142,0,142,0,142,0,439,0,439,0,380,0,59,711,-56,655,377,137,163
1217,Piscataway Township,Middlesex,12/30/08,08/12/09,144,0,142,3,141,0,736,0,736,0,604,0,134,457,-80,377,101,259,50
1218,Plainsboro Township,Middlesex,12/30/08,06/10/09,44,0,44,0,44,0,205,0,205,0,153,0,52,445,-52,393,142,177,75
1222,South Plainfield Borough,Middlesex,12/31/08,10/14/09,101,0,101,1,100,0,379,-37,342,0,260,0,79,299,0,299,10,230,74
1313,Englishtown Borough,Monmouth,12/30/08,12/09/09,7,0,7,0,7,0,37,0,37,0,21,7,9,27,0,27,3,17,7
1326,Manalapan Township,Monmouth,12/30/08,07/15/10,36,0,36,36,0,0,706,0,706,0,662,2,42,437,-160,277,0,208,69
1332,Middletown Township,Monmouth,12/31/08,10/14/09,154,0,154,28,126,0,"1,561",0,"1,561",0,"1,098",169,294,463,-230,233,2,333,3
1401,Boonton Town ^,Morris,12/29/08,10/26/09,57,-39,18,4,14,0,11,0,11,0,11,0,0,51,0,51,33,30,0
1413,Harding Township ^,Morris,12/30/08,05/14/09,0,0,0,0,0,0,83,0,83,0,62,0,21,40,-5,35,10,18,7.75
1428,Netcong Borough ^,Morris,12/31/08,10/14/09,10,0,10,7,0,3,0,0,0,0,0,0,0,26,0,26,0,48,0.00
1436,Roxbury Township ^,Morris,12/23/08,08/12/09,35,0,35,35,0,0,255,0,255,0,193,0,63,349,-54,295,182,40,73
1523,Pine Beach Borough,Ocean,12/29/08,03/10/10,0,0,0,0,0,0,41,-41,0,37,0,1,0,26,-16,10,5,13,0
1531,Stafford Township,Ocean,12/31/08,12/09/09,24,0,24,3,21,0,555,0,555,0,326,168,61,530,-11,519,127,284,108
1709,Pennsville Township,Salem,12/31/08,05/14/09,19,0,19,0,0,19,228,0,228,0,136,87,5,72,-62,10,2,48,0
1714,Upper Pittsgrove Township,Salem,12/31/08,06/10/09,4,0,4,4,0,0,27,0,27,0,11,9,7,40,0,40,2,36,2
1801,Bedminster Township ^,Somerset,12/30/08,12/09/09,0,0,0,0,0,0,154,0,154,0,216,0,38,249,0,249,478,0,0
1802,Bernards Township ^,Somerset,12/30/08,05/13/10,12,0,12,33,0,0,508,0,508,0,478,0,30,368,0,368,102,277,2.5
1808,Franklin Township,Somerset,12/30/08,07/15/10,142,0,142,60,82,0,766,0,766,0,626,0,140,"1,145",-180,965,507,596,241.0
1812,Millstone Borough,Somerset,12/30/08,12/09/09,2,0,2,0,0,2,21,0,21,0,0,15,6,4,0,4,0,4,0
1815,Peapack-Gladstone Borough ^,Somerset,12/30/08,09/09/09,6,0,6,0,6,0,82,0,82,0,64,0,18,37,0,37,2,26,9
1817,Rocky Hill Borough,Somerset,12/30/08,05/14/09,4,0,4,4,0,0,25,0,25,0,19,0,6,11,0,11,0,11,0
1902,Andover Township,Sussex,12/29/08,10/26/09,0,0,0,0,0,0,55,0,55,0,4,37,14,137,0,137,4,128,19
1911,Hardyston Township ^,Sussex,12/19/08,05/14/09,9,0,9,9,0,0,18,0,18,0,10,3,5,213,0,213,0,204,53
1917,Sandyston Township,Sussex,11/25/08,10/26/09,6,0,6,6,0,0,13,0,13,0,0,10,3,36,0,36,0,36,0
2019,Union Township,Union,03/17/10,09/08/10,199,0,199,87,112,0,233,0,233,0,233,0,0,827,-695,132,112,18,2
2104,Blairstown Township,Warren,12/23/08,07/08/09,16,0,16,16,0,0,12,0,12,0,9,0,3,118,0,118,2,87,29
2106,Freylinghuysen Township ^,Warren,12/15/08,06/10/09,6,0,6,3,3,0,6,0,6,0,4,0,2,32,0,32,15,12,8
2113,Knowlton Township,Warren,12/31/08,10/14/09,14,0,14,3,11,0,14,0,14,0,10,0,4,60,0,60,0,45,15
,,,,,,,,,,,,,,,,,,,,,,,
,,,68,68,"3,453",-281,"3,170","1,090","1,648",457,"11,848",-780,"11,102",527,"8,940",874,"1,664","12,173","-1,225","10,607","4,827","5,775","1,920.25"
,,,,,,,,,,,,,,,,,,,,,,,
,^    Highlands Municipality,,,,,,,,,,,,,,,,,,,,,,
,*    Realistic Development Potential (RDP),,,,,,,,,,,,,,,,,,,,,,
,**  Includes RCA units transferred,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,