Rutgers ID,Term GPA,FYF fall 22,FYF Sp23,FYF FALL23
214006812,4,1,0,0
214003373,4,1,0,0
207009527,4,0,0,0
210003896,4,0,0,0
216000154,4,0,0,1
217006558,4,1,0,0
219002239,4,0,1,0
220001282,4,1,0,0
216002387,4,0,1,0
214006433,4,1,0,0
217009949,4,1,0,0
218006631,4,0,0,1
215007649,4,1,0,0
214001928,4,1,0,0
219008410,4,1,0,0
214005633,4,0,0,0
217001193,4,1,0,0
207002572,4,0,0,0
214001683,4,1,0,0
216009541,4,0,1,0
216000616,4,0,1,0
214006200,3.967,1,0,0
214005867,3.8,0,0,0
217001001,3.903,1,0,0
217001113,4,0,0,0
217009967,4,1,0,0
216009844,4,1,0,0
217004706,3.808,0,1,0
215001039,3.917,0,1,0
215007885,3.813,0,0,1
217000813,3.9,1,0,0
218006872,4,1,0,0
216004613,4,1,0,0
218001590,3.8,1,0,0
219004425,4,1,0,0
219009506,3.9,0,0,0
216008082,3.719,1,0,0
217007333,3.818,0,1,0
215007733,4,0,0,0
214003953,3.813,0,1,0
214006723,3.6,0,1,0
216008052,3.838,0,0,0
216005339,3.9,0,1,0
216007091,3.842,0,0,1
214005122,3.719,0,1,0
220004244,3.719,0,0,0
215007561,3.794,0,1,0
217000900,3.938,1,0,0
215006599,3.667,1,0,0
213008130,3.625,0,1,0
217000100,3.5,1,0,0
217000681,3.382,1,0,0
214003937,3.563,0,1,0
215007735,3.5,1,0,0
217008325,3.885,0,0,0
217006224,3.375,1,0,0
215004611,3.688,1,0,0
220001528,2.912,1,0,0
213009078,3.622,0,0,0
216003832,3.559,1,0,0
208009854,3.357,0,0,0
220003618,3.344,0,0,0
217006767,2.75,0,0,0
218001630,2.944,0,1,0
214005636,3.433,1,0,0
217000661,3.281,0,1,0
218001100,3.75,0,1,0
216008633,3.4,1,0,0
216003948,3.314,0,0,1
216001234,3.375,0,0,1
216005012,3.067,1,0,0
215009533,3.25,0,0,1
217003628,1.962,0,1,0
218000244,3.8,1,0,0